name,asset_description,tag_list,value,profit,price,recent_high_30d,recent_low_30d,pct_drawdown,volatility_30d,price_vs_ma_50,ma_30,ma_50,dca_bias,trend,data_date
AMDd_EQ,Advanced Micro Devices,"Sample Tag_5578,hey",13.62,2.93,190.28,207.45,190.28,-0.0827669317907929,0.013326009718020962,-0.07845349890303607,205.83166666666665,206.47899999999998,0.07409746642841299,Bearish,2026-02-04 10:46:01.113638+00:00
CBUKd_EQ,iShares MSCI China Tech (Acc),"Sample Tag_1055,Sample Tag_7162,akin",142.92,-7.05,4.418,4.48,4.418,-0.013839285714285774,0.0022966085315944875,-0.013053253126597214,4.474053333333334,4.476432,0.012370604960941223,Bearish,2026-02-04 08:25:14.661630+00:00
CHVd_EQ,Chevron,Sample Tag_7162,26.56,2.96,150.45,150.45,149.62,0.0,0.0008583451639572812,0.005288035568954819,149.6843333333333,149.6586,-0.0020293797111861993,Bullish,2026-02-04 08:25:14.661630+00:00
ISFEl_EQ,iShares MSCI AC Far East ex-Japan Small Cap (Dist),"Sample Tag_1055,Core",110.56,12.33,3209.2,3212.2,3161.0,-0.0009339393562044705,0.002965483312911279,0.01429212574036492,3165.9666666666667,3163.98,-0.004953332286752605,Bullish,2026-02-04 08:25:14.661630+00:00
SNII_US_EQ,Rigetti Computing,akin,4.2,-2.86,18.15,18.17,18.05,-0.001100715465052456,0.0008519322334397028,0.004127156245504953,18.090666666666667,18.0754,-0.0010153115423317829,Bullish,2026-02-04 08:25:14.661630+00:00
ANRJl_EQ,Amundi Global Hydrogen,Sample Tag_1055,17.43,3.78,59450.2,59450.2,58880.0,0.0,0.0017664645933152562,0.009293310650539927,58917.996666666666,58902.797999999995,-0.0035406778008844455,Bullish,2026-02-04 08:15:14.732099+00:00
IUS3_EQ,iShares S&P Small Cap 600 (Dist),"Sample Tag_5578,Sample Tag_7162",203.13,15.57,88.07,88.07,87.96,0.0,0.00028682089788538174,0.0003521166755639828,88.03833333333334,88.03900000000002,-0.00011216458043705495,Bearish,2026-02-04 08:15:14.732099+00:00
ADBE_US_EQ,Adobe,,11.59,-4.77,273.8,273.8,272.9,0.0,0.0005370458131242993,0.0015597702192164898,273.411,273.3736,-0.000570203506374166,Bullish,2026-02-04 08:15:14.732099+00:00
PFE_US_EQ,Pfizer,,26.05,0.26,25.85,25.88,25.8,-0.0011591962905717769,0.0006046746727697645,0.0015885931264287795,25.846333333333334,25.809,4.628361991353007e-06,Bullish,2026-02-04 08:15:14.732099+00:00
EUNYd_EQ,iShares EM Dividend (Dist),,82.01,9.93,16.521,16.525,16.34,-0.0002420574886534211,0.002069083762619252,0.010624371456605788,16.3522,16.34732,-0.00392181146205368,Bullish,2026-02-04 08:15:14.732099+00:00
SMCI_US_EQ,Super Micro Computer,,12.97,-5.11,33.09,33.35,31.77,-0.007796101949025427,0.0033689990259776754,0.033255269320843245,32.18033333333333,32.025,-0.009067156851226818,Bullish,2026-02-04 08:15:14.732099+00:00
VJPBl_EQ,Vanguard FTSE Japan (Acc),,146.19,15.72,32.427,32.427,32.215,0.0,0.0011113521352576908,0.006325884860454393,32.2286,32.22316,-0.0024192187306559883,Bullish,2026-02-04 08:15:14.732099+00:00
VERGl_EQ,Vanguard FTSE Developed Europe ex UK,,185.75,15.72,48.932,49.01,48.831,-0.001591511936339438,0.0007775710650708879,-0.0014867913100863586,49.00143333333333,49.00486,0.0014682295987113513,Bearish,2026-02-04 08:15:14.732099+00:00
SHELl_EQ,Shell,,27.47,1.55,2839.7,2848.2,2789.5,-0.0029843409872902186,0.00389894644158599,0.01720184061342316,2793.1299999999997,2791.678,-0.004998671107565556,Bullish,2026-02-04 08:15:14.732099+00:00
SEMIl_EQ,iShares MSCI Global Semiconductors (Acc),,306.47,71.22,9.521,9.552,9.521,-0.003245393634840746,0.0005925251005953258,-0.003115982393024174,9.549933333333334,9.55076,0.0029283422846895753,Bearish,2026-02-04 08:15:14.732099+00:00
IUSZl_EQ,iShares MSCI USA Mid-Cap Equal Weight (Acc),,196.81,2.79,12.49,12.49,12.49,0.0,0.0,0.0,12.49,12.49,0.0,Bearish,2026-02-04 08:15:14.732099+00:00
EXH1d_EQ,iShares STOXX Europe 600 Oil & Gas DE (Dist),"Sample Tag_5578,Core",68.37,10.23,45.628,45.692,45.145,-0.0014006828328810307,0.0022356375048887328,0.010237880156579237,45.17933333333334,45.165600000000005,-0.0031712468957023066,Bullish,2026-02-04 08:15:14.732099+00:00
IDVYa_EQ,iShares Euro Dividend (Dist),"Core,US",80.31,5.89,24.662,24.662,24.53,0.0,0.0007777951227614504,0.0052475700334974045,24.535433333333334,24.53326,-0.0020212485011228166,Bullish,2026-02-04 08:15:14.732099+00:00
GOOGL_US_EQ,Alphabet (Class A),Sample Tag_1055,52.88,19.35,342.81,342.99,342.17,-0.0005247966413015156,0.0006466034530334698,0.0004634450426555785,342.6673333333334,342.6512,0.00014168064889187338,Bullish,2026-02-04 08:15:14.732099+00:00
ISLNl_EQ,iShares Physical Silver,Core,160.76,61.03,85.80001,85.80001,84.5275,0.0,0.002704211137259819,0.014448315096368637,84.61166733333334,84.57800040000001,-0.005508904924821473,Bullish,2026-02-04 08:15:14.732099+00:00
WCBRl_EQ,WisdomTree Cybersecurity (Acc),Core,82.46,-21.85,24.598,24.665,24.598,-0.0027163997567403275,0.0004959444739894059,-0.0026080271442428023,24.660533333333333,24.66232,0.0024510051834662253,Bearish,2026-02-04 08:15:14.732099+00:00
EXXWd_EQ,iShares Dow Jones Asia Pacific Select Dividend 50 DE (Dist),Core,81.77,9.75,30.488,30.488,30.15,0.0,0.0020467686504891907,0.010757365188147842,30.17253333333333,30.16352,-0.004098269210210218,Bullish,2026-02-04 08:15:14.732099+00:00
CEMXl_EQ,iShares MSCI EM Consumer Growth (Acc),,89.7,-3.07,27.314,27.343,27.314,-0.001060600519328527,0.00021493610967771194,-0.0005832431392091222,27.3299,27.329939999999997,0.0007850911263156836,Bearish,2026-02-04 08:15:14.732099+00:00
IUSNd_EQ,iShares MSCI World Small Cap (Acc),,79.88,7.65,8.197,8.198,8.172,-0.00012198097096867799,0.0005820708897561324,0.00293404396416479,8.1737,8.173020000000001,-0.0010544200112059636,Bullish,2026-02-04 08:15:14.732099+00:00
SNE_US_EQ,Sony,,28.27,-5.91,21.49,21.65,21.35,-0.007390300230946889,0.002851829543148407,0.00010238367818026874,21.447666666666667,21.487799999999996,0.003939379598516177,Bearish,2026-02-04 08:15:14.732099+00:00
EQQQl_EQ,Invesco EQQQ Nasdaq-100 (Dist),,327.82,1.42,45204.999,45346.0,45204.999,-0.003109447360296312,0.000402347743412984,-0.0030105095759909383,45338.50003333333,45341.50002000001,0.0027991622848858298,Bearish,2026-02-04 08:15:14.732099+00:00
LYPUd_EQ,Amundi Australia S&P/ASX 200 (Dist),,73.51,4.1,53.91,53.91,53.29,0.0,0.002124150782843562,0.011163879448108188,53.33133333333333,53.3148,-0.004253136700958919,Bullish,2026-02-04 08:15:14.732099+00:00
